Date,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
2020-07-11,Matchweek 35,Sat,Away,W,5,0,Brighton,5,0.1,70
2020-07-15,Matchweek 36,Wed,Home,W,2,1,Bournemouth,0.8,1.7,71
2020-07-21,Matchweek 37,Tue,Away,W,4,0,Watford,3.5,0.1,75
2020-07-26,Matchweek 38,Sun,Home,W,5,0,Norwich City,3.2,1.1,73
2020-09-21,Matchweek 2,Mon,Away,W,3,1,Wolves,1.9,1,65
2020-09-27,Matchweek 3,Sun,Home,L,2,5,Leicester City,0.9,2.6,72
2020-10-03,Matchweek 4,Sat,Away,D,1,1,Leeds United,1.5,1.7,48
2020-10-17,Matchweek 5,Sat,Home,W,1,0,Arsenal,1.5,0.9,59
2020-10-24,Matchweek 6,Sat,Away,D,1,1,West Ham,1.1,0.5,70
2020-10-31,Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1.5,0.5,64
2020-11-08,Matchweek 8,Sun,Home,D,1,1,Liverpool,1.6,1.4,54
2020-11-21,Matchweek 9,Sat,Away,L,0,2,Tottenham,1.3,0.7,67
2020-11-28,Matchweek 10,Sat,Home,W,5,0,Burnley,2.8,0.4,68
2020-12-05,Matchweek 11,Sat,Home,W,2,0,Fulham,3,0.2,69
2020-12-12,Matchweek 12,Sat,Away,D,0,0,Manchester Utd,1.2,1,54
2020-12-15,Matchweek 13,Tue,Home,D,1,1,West Brom,1.9,0.3,77
2020-12-19,Matchweek 14,Sat,Away,W,1,0,Southampton,1.1,1,52
2020-12-26,Matchweek 15,Sat,Home,W,2,0,Newcastle Utd,1.8,0.3,75
2021-01-03,Matchweek 17,Sun,Away,W,3,1,Chelsea,2.4,0.8,46
2021-01-13,Matchweek 18,Wed,Home,W,1,0,Brighton,2.6,0.2,65
2021-01-17,Matchweek 19,Sun,Home,W,4,0,Crystal Palace,0.9,0,72
2021-01-20,Matchweek 1,Wed,Home,W,2,0,Aston Villa,4.3,0.8,68
2021-01-26,Matchweek 20,Tue,Away,W,5,0,West Brom,2,0.4,77
2021-01-30,Matchweek 21,Sat,Home,W,1,0,Sheffield Utd,1.2,0.2,74
2021-02-03,Matchweek 22,Wed,Away,W,2,0,Burnley,2.6,0.1,74
2021-02-07,Matchweek 23,Sun,Away,W,4,1,Liverpool,3.1,1.3,44
2021-02-13,Matchweek 24,Sat,Home,W,3,0,Tottenham,2.9,0.6,61
2021-02-17,Matchweek 16,Wed,Away,W,3,1,Everton,1.5,1,71
2021-02-21,Matchweek 25,Sun,Away,W,1,0,Arsenal,2,0.3,56
2021-02-27,Matchweek 26,Sat,Home,W,2,1,West Ham,0.6,1.6,63
2021-03-02,Matchweek 29,Tue,Home,W,4,1,Wolves,2.3,0.4,73
2021-03-07,Matchweek 27,Sun,Home,L,0,2,Manchester Utd,1.5,1.6,66
2021-03-10,Matchweek 33,Wed,Home,W,5,2,Southampton,2.7,1.8,57
2021-03-13,Matchweek 28,Sat,Away,W,3,0,Fulham,2.3,0.3,54
2021-04-03,Matchweek 30,Sat,Away,W,2,0,Leicester City,2.3,0.4,56
2021-04-10,Matchweek 31,Sat,Home,L,1,2,Leeds United,2.4,0.3,71
2021-04-21,Matchweek 32,Wed,Away,W,2,1,Aston Villa,1.4,0.7,71
2021-05-01,Matchweek 34,Sat,Away,W,2,0,Crystal Palace,2.1,0.8,67
2021-05-08,Matchweek 35,Sat,Home,L,1,2,Chelsea,2.2,0.8,49
2021-05-14,Matchweek 36,Fri,Away,W,4,3,Newcastle Utd,1.3,2.2,82
2021-05-18,Matchweek 37,Tue,Away,L,2,3,Brighton,1,1.4,37
2021-05-23,Matchweek 38,Sun,Home,W,5,0,Everton,2.6,1.2,68
2021-08-15,Matchweek 1,Sun,Away,L,0,1,Tottenham,1.9,1.3,64
2021-08-21,Matchweek 2,Sat,Home,W,5,0,Norwich City,2.7,0.1,67
2021-08-28,Matchweek 3,Sat,Home,W,5,0,Arsenal,3.8,0.1,80
2021-09-11,Matchweek 4,Sat,Away,W,1,0,Leicester City,2.9,0.8,61
2021-09-18,Matchweek 5,Sat,Home,D,0,0,Southampton,1.1,0.4,63
2021-09-25,Matchweek 6,Sat,Away,W,1,0,Chelsea,1.7,0.3,60
2021-10-03,Matchweek 7,Sun,Away,D,2,2,Liverpool,1.2,1,51
2021-10-16,Matchweek 8,Sat,Home,W,2,0,Burnley,1.9,1,69
2021-10-23,Matchweek 9,Sat,Away,W,4,1,Brighton,3.9,1.3,52
2021-10-30,Matchweek 10,Sat,Home,L,0,2,Crystal Palace,1.1,1.1,68
2021-11-06,Matchweek 11,Sat,Away,W,2,0,Manchester Utd,2,0.6,67
2021-11-21,Matchweek 12,Sun,Home,W,3,0,Everton,2.3,0.3,76
2021-11-28,Matchweek 13,Sun,Home,W,2,1,West Ham,2.1,0.2,67
2021-12-01,Matchweek 14,Wed,Away,W,2,1,Aston Villa,0.9,0.9,64
2021-12-04,Matchweek 15,Sat,Away,W,3,1,Watford,3.6,0.7,76
2021-12-11,Matchweek 16,Sat,Home,W,1,0,Wolves,3.5,0.2,71
2021-12-14,Matchweek 17,Tue,Home,W,7,0,Leeds United,3.6,0.2,64
2021-12-19,Matchweek 18,Sun,Away,W,4,0,Newcastle Utd,3.1,0.4,71
2021-12-26,Matchweek 19,Sun,Home,W,6,3,Leicester City,3.4,2.4,72
2021-12-29,Matchweek 20,Wed,Away,W,1,0,Brentford,0.8,0.3,76
2022-01-01,Matchweek 21,Sat,Away,W,2,1,Arsenal,1.8,1,70
2022-01-15,Matchweek 22,Sat,Home,W,1,0,Chelsea,0.7,0.5,56
2022-01-22,Matchweek 23,Sat,Away,D,1,1,Southampton,1.6,1.1,73
2022-02-09,Matchweek 24,Wed,Home,W,2,0,Brentford,2,0.7,75
2022-02-12,Matchweek 25,Sat,Away,W,4,0,Norwich City,4.6,0.5,72
2022-02-19,Matchweek 26,Sat,Home,L,2,3,Tottenham,2.1,1.8,71
2022-02-26,Matchweek 27,Sat,Away,W,1,0,Everton,1.6,0.8,67
2022-03-06,Matchweek 28,Sun,Home,W,4,1,Manchester Utd,2.7,0.5,69
2022-03-14,Matchweek 29,Mon,Away,D,0,0,Crystal Palace,2.3,0.8,74
